Origin,Destination,Travel_Time,Travel_Minutes,Status,Timestamp
"3081HS, Rotterdam",Zwartewaal,56m,56,ok,2026-07-26T00:23:27.273072
"3081HS, Rotterdam",Marum,4h 19m,259,ok,2026-07-26T00:23:44.162500
"3081HS, Rotterdam",Hoedekenskerke,2h 8m,128,ok,2026-07-26T00:24:01.491840
"3081HS, Rotterdam",Sint Kruis,4h 48m,288,ok,2026-07-26T00:24:18.670996
"3081HS, Rotterdam",Wageningen,1h 38m,98,ok,2026-07-26T00:24:35.898573
"3081HS, Rotterdam",Leende,2h 17m,137,ok,2026-07-26T00:24:52.929851
"3081HS, Rotterdam",Maasland,1h 8m,68,ok,2026-07-26T00:25:10.049190
"3081HS, Rotterdam",Oost-Souburg,1h 56m,116,ok,2026-07-26T00:25:27.343194
"3081HS, Rotterdam",Bloemendaal,1h 40m,100,ok,2026-07-26T00:25:44.552986
"3081HS, Rotterdam",Texel,1h 25m,85,ok,2026-07-26T00:26:01.525125
"3081HS, Rotterdam",Meierijstad,2h 3m,123,ok,2026-07-26T00:26:18.739818
"3081HS, Rotterdam",Veenhuizen,3h 42m,222,ok,2026-07-26T00:26:35.923417
"3081HS, Rotterdam",Leiden,1h 5m,65,ok,2026-07-26T00:26:52.946165
"3081HS, Rotterdam",Uithoorn,1h 39m,99,ok,2026-07-26T00:27:10.026594
"3081HS, Rotterdam",Rhoon,20m,20,ok,2026-07-26T00:27:26.966373
"3081HS, Rotterdam",Asten,2h 21m,141,ok,2026-07-26T00:27:43.910273
"3081HS, Rotterdam",Eelde,3h 39m,219,ok,2026-07-26T00:28:00.861816
"3081HS, Rotterdam",Susteren,2h 33m,153,ok,2026-07-26T00:28:17.933224
"3081HS, Rotterdam",Gemert,2h 24m,144,ok,2026-07-26T00:28:34.923751
"3081HS, Rotterdam",Uithuizen,3h 50m,230,ok,2026-07-26T00:28:52.059412
"3081HS, Rotterdam",Wormerveer,1h 43m,103,ok,2026-07-26T00:29:09.247567
"3081HS, Rotterdam",Sint-Michielsgestel,2h 13m,133,ok,2026-07-26T00:29:26.838030
"3081HS, Rotterdam",Vlijmen,1h 51m,111,ok,2026-07-26T00:29:43.880471
"3081HS, Rotterdam",Heerlen,2h 55m,175,ok,2026-07-26T00:30:00.903162
"3081HS, Rotterdam",Rozenburg,1h 3m,63,ok,2026-07-26T00:30:18.060083
"3081HS, Rotterdam",Epe,2h 37m,157,ok,2026-07-26T00:30:35.044710
"3081HS, Rotterdam",Naaldwijk,1h 11m,71,ok,2026-07-26T00:30:52.224724
"3081HS, Rotterdam",Haarlem,1h 27m,87,ok,2026-07-26T00:31:09.379722
"3081HS, Rotterdam",Hellendoorn,2h 54m,174,ok,2026-07-26T00:31:26.707224
"3081HS, Rotterdam",Waalre,2h 20m,140,ok,2026-07-26T00:31:43.829617
